Species_name,status_category,status_num,first_evidence,years_since_introduction
Sp_1,I,1,,8518
Sp_2,N,3,1945,73
Sp_3,I,1,,8518
Sp_4,N,3,1964,54
Sp_5,I,1,,8518
Sp_6,I,1,,8518
Sp_7,I,1,,8518
Sp_8,I,1,,8518
Sp_9,I,1,,8518
Sp_10,I,1,,8518
Sp_11,N,3,1946,72
Sp_12,A,2,,2768
Sp_13,I,1,,8518
Sp_14,A,2,,2768
Sp_15,A,2,,2768
Sp_16,I,1,,8518
Sp_17,I,1,,8518
Sp_18,I,1,,8518
Sp_19,N,3,1787,231
Sp_20,I,1,,8518
Sp_21,I,1,,8518
Sp_22,N,3,1787,231
Sp_23,I,1,,8518
Sp_24,N,3,1787,231
Sp_25,A,2,,2768
Sp_26,A,2,,2768
Sp_27,I,1,,8518
Sp_28,N,3,1859,159
Sp_29,A,2,,2768
Sp_30,N,3,1843,175
Sp_31,I,1,,8518
Sp_32,I,1,,8518
Sp_33,I,1,,8518
Sp_34,I,1,,8518
Sp_35,I,1,,8518
Sp_36,I,1,,8518
Sp_37,I,1,,8518
Sp_38,I,1,,8518
Sp_39,I,1,,8518
Sp_40,I,1,,8518
Sp_41,I,1,,8518
Sp_42,I,1,,8518
Sp_43,I,1,,8518
Sp_44,I,1,,8518
Sp_45,I,1,,8518
Sp_46,I,1,,8518
Sp_47,I,1,,8518
Sp_48,I,1,,8518
Sp_49,N,3,1957,61
Sp_50,A,2,,2768
Sp_51,N,3,1787,231
Sp_52,I,1,,8518
Sp_53,I,1,,8518
Sp_54,A,2,,2768
Sp_55,I,1,,8518
Sp_56,I,1,,8518
Sp_57,I,1,,8518
Sp_58,I,1,,8518
Sp_59,I,1,,8518
Sp_60,I,1,,8518
Sp_61,I,1,,8518
Sp_62,I,1,,8518
Sp_63,N,3,2001,17
Sp_64,A,2,,2768
Sp_65,A,2,,2768
Sp_66,N,3,1953,65
Sp_67,I,1,,8518
Sp_68,A,2,,2768
Sp_69,I,1,,8518
Sp_70,I,1,,8518
Sp_71,I,1,,8518
Sp_72,N,3,1953,65
Sp_73,I,1,,8518
Sp_74,N,3,1859,159
Sp_75,A,2,,2768
Sp_76,I,1,,8518
Sp_77,I,1,,8518
Sp_78,I,1,,8518
Sp_79,I,1,,8518
Sp_80,I,1,,8518
Sp_81,I,1,,8518
Sp_82,I,1,,8518
Sp_83,I,1,,8518
Sp_84,I,1,,8518
Sp_85,I,1,,8518
Sp_86,I,1,,8518
Sp_87,I,1,,8518
Sp_88,I,1,,8518
Sp_89,I,1,,8518
Sp_90,A,2,,2768
Sp_91,A,2,,2768
Sp_92,N,3,1859,159
Sp_93,I,1,,8518
Sp_94,I,1,,8518
Sp_95,N,3,1953,65
Sp_96,I,1,,8518
Sp_97,I,1,,8518
Sp_98,I,1,,8518
Sp_99,I,1,,8518
Sp_100,I,1,,8518
Sp_101,I,1,,8518
Sp_102,I,1,,8518
Sp_103,A,2,,2768
Sp_104,I,1,,8518
Sp_105,I,1,,8518
Sp_106,I,1,,8518
Sp_107,I,1,,8518
Sp_108,A,2,,2768
Sp_109,I,1,,8518
Sp_110,I,1,,8518
Sp_111,I,1,,8518
Sp_112,I,1,,8518
Sp_113,N,3,1859,159
Sp_114,I,1,,8518
Sp_115,I,1,,8518
Sp_116,I,1,,8518
Sp_117,I,1,,8518
Sp_118,N,3,1878,140
Sp_119,I,1,,8518
Sp_120,I,1,,8518
Sp_121,N,3,1859,159
Sp_122,I,1,,8518
Sp_123,A,2,,2768
Sp_124,I,1,,8518
Sp_125,A,2,,2768
Sp_126,A,2,,2768
Sp_127,A,2,,2768
Sp_128,N,3,1787,231
Sp_129,I,1,,8518
Sp_130,A,2,,2768
Sp_131,A,2,,2768
Sp_132,I,1,,8518
Sp_133,N,3,1947,71
Sp_134,I,1,,8518
Sp_135,I,1,,8518
Sp_136,I,1,,8518
Sp_137,I,1,,8518
Sp_138,N,3,1787,231
Sp_139,A,2,,2768
Sp_140,A,2,,2768
Sp_141,I,1,,8518
Sp_142,A,2,,2768
Sp_143,A,2,,2768
Sp_144,I,1,,8518
Sp_145,I,1,,8518
Sp_146,I,1,,8518
Sp_147,I,1,,8518
Sp_148,I,1,,8518
Sp_149,I,1,,8518
Sp_150,N,3,1841,177
Sp_151,I,1,,8518
Sp_152,I,1,,8518
Sp_153,I,1,,8518
Sp_154,I,1,,8518
Sp_155,N,3,1787,231
Sp_156,N,3,1825,193
Sp_157,I,1,,8518
Sp_158,N,3,1885,133
Sp_159,I,1,,8518
Sp_160,I,1,,8518
Sp_161,I,1,,8518
Sp_162,N,3,1859,159
Sp_163,I,1,,8518
Sp_164,I,1,,8518
Sp_165,I,1,,8518
Sp_166,I,1,,8518
Sp_167,I,1,,8518
Sp_168,I,1,,8518
Sp_169,N,3,1961,57
Sp_170,I,1,,8518
Sp_171,I,1,,8518
Sp_172,A,2,,2768
Sp_173,I,1,,8518
Sp_174,I,1,,8518
